key,level,type,category,fullname,publisher,url
ijns,C,Journal,8,International Journal of Neural Systems,World Scientific,http://dblp.uni-trier.de/db/journals/ijns/
ijprai,C,Journal,8,International Journal of Pattern Recognition and Artificial Intelligence,World Scientific,http://dblp.uni-trier.de/db/journals/ijprai/
ijufks,C,Journal,8,"International Journal of Uncertainty, Fuzziness and Knowledge-Based System",World Scientific,https://dblp.uni-trier.de/db/journals/ijufks/
ijdar,C,Journal,8,International Journal on Document Analysis and Recognition,Springer,http://dblp.uni-trier.de/db/journals/ijdar/
jetai,C,Journal,8,Journal of Experimental and Theoretical Artificial Intelligence,Taylor & Francis,http://dblp.uni-trier.de/db/journals/jetai/
kbs,C,Journal,8,Knowledge-Based Systems,Elsevier,http://dblp.uni-trier.de/db/journals/kbs/
mt,C,Journal,8,Machine Translation,Springer,http://dblp.uni-trier.de/db/journals/mt/
mva,C,Journal,8,Machine Vision and Applications,Springer,http://dblp.uni-trier.de/db/journals/mva/
nc,C,Journal,8,Natural Computing,Springer,http://dblp.uni-trier.de/db/journals/nc/
nle,C,Journal,8,Natural Language Engineering,Cambridge University Press,http://dblp.uni-trier.de/db/journals/nle/
nca,C,Journal,8,Neural Computing & Applications,Springer,http://dblp.uni-trier.de/db/journals/nca/
npl,C,Journal,8,Neural Processing Letters,Springer,http://dblp.uni-trier.de/db/journals/npl/
ijon,C,Journal,8,Neurocomputing,Elsevier,http://dblp.uni-trier.de/db/journals/ijon/
paa,C,Journal,8,Pattern Analysis and Applications,Springer,http://dblp.uni-trier.de/db/journals/paa/
prl,C,Journal,8,Pattern Recognition Letters,Elsevier,http://dblp.uni-trier.de/db/journals/prl/
soco,C,Journal,8,Soft Computing,Springer,http://dblp.uni-trier.de/db/journals/soco/
wi,C,Journal,8,Web Intelligence,IOS Press,http://dblp.uni-trier.de/db/journals/wias/
tiis,C,Journal,8,ACM Transactions on Interactive Intelligent Systems,ACM,https://dblp.org/db/journals/tiis/index.html
aaai,A,Conference,8,AAAI Conference on Artificial Intelligence,AAAI,http://dblp.uni-trier.de/db/conf/aaai/
neurips,A,Conference,8,Annual Conference on Neural Information Processing Systems,MIT Press,http://dblp.uni-trier.de/db/conf/nips/
acl,A,Conference,8,Annual Meeting of the Association for Computational Linguistics,ACL,http://dblp.uni-trier.de/db/conf/acl/
cvpr,A,Conference,8,IEEE Conference on Computer Vision and Pattern Recognition,IEEE,http://dblp.uni-trier.de/db/conf/cvpr/
