key,level,type,category
journals/alife,C,Journal,8
journals/ci,C,Journal,8
journals/csl,C,Journal,8
journals/connection,C,Journal,8
journals/dss,C,Journal,8
journals/eaai,C,Journal,8
journals/es,C,Journal,8
journals/eswa,C,Journal,8
journals/fss,C,Journal,8
journals/tciaig,C,Journal,8
journals/iet-cvi,C,Journal,8
journals/iet-spr,C,Journal,8
journals/ivc,C,Journal,8
journals/ida,C,Journal,8
journals/ijcia,C,Journal,8
journals/ijis,C,Journal,8
journals/ijns,C,Journal,8
journals/ijprai,C,Journal,8
journals/ijufks,C,Journal,8
journals/ijdar,C,Journal,8
journals/jetai,C,Journal,8
journals/kbs,C,Journal,8
journals/mt,C,Journal,8
journals/mva,C,Journal,8
journals/nc,C,Journal,8
journals/nle,C,Journal,8
journals/nca,C,Journal,8
journals/npl,C,Journal,8
journals/ijon,C,Journal,8
journals/paa,C,Journal,8
journals/prl,C,Journal,8
journals/soco,C,Journal,8
journals/wias,C,Journal,8
conf/aaai,A,Conference,8
conf/nips,A,Conference,8
conf/acl,A,Conference,8
conf/cvpr,A,Conference,8
conf/iccv,A,Conference,8
conf/icml,A,Conference,8
conf/ijcai,A,Conference,8
conf/colt,B,Conference,8
conf/emnlp,B,Conference,8
conf/ecai,B,Conference,8
conf/eccv,B,Conference,8
conf/icra,B,Conference,8
conf/aips,B,Conference,8
conf/iccbr,B,Conference,8
conf/coling,B,Conference,8
conf/kr,B,Conference,8
conf/uai,B,Conference,8
conf/atal,B,Conference,8
conf/ppsn,B,Conference,8
conf/aistats,C,Conference,8
conf/accv,C,Conference,8
conf/acml,C,Conference,8
conf/bmvc,C,Conference,8
conf/nlpcc,C,Conference,8
conf/conll,C,Conference,8
conf/gecco,C,Conference,8
conf/ictai,C,Conference,8
conf/iros,C,Conference,8
conf/alt,C,Conference,8
conf/icann,C,Conference,8
conf/fgr,C,Conference,8
conf/icdar,C,Conference,8
conf/ilp,C,Conference,8
conf/ksem,C,Conference,8
conf/iconip,C,Conference,8
conf/icpr,C,Conference,8
conf/icb,C,Conference,8
conf/ijcnn,C,Conference,8
conf/pricai,C,Conference,8
conf/naacl,C,Conference,8
journals/tochi,A,Journal,9
journals/ijmms,A,Journal,9
journals/cscw,B,Journal,9
journals/hhci,B,Journal,9
journals/thms,B,Journal,9
journals/iwc,B,Journal,9
